[2015-11-16 20:59:45]**********初始化USB模块成功**********

[2015-11-16 20:59:56]**********初始化相机成功**********

[2015-11-16 20:59:56]**********工作模式为: 自动模式**********
[2015-11-16 21:00:23]-----出 洞-----

[2015-11-16 21:23:58]**********初始化USB模块成功**********

[2015-11-16 21:23:59]**********初始化相机成功**********

[2015-11-16 21:23:59]**********工作模式为: 自动模式**********

[2015-11-16 21:23:59]-----出 洞-----

[2015-11-16 21:23:59]-----出 洞-----

[2015-11-16 21:23:59]-----出 洞-----

[2015-11-16 21:23:59]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:00]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:01]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

[2015-11-16 21:24:02]-----出 洞-----

